czech_word	english_translation	czech_sentence	english_sentence
rovně	straight	Jdi teď rovně ulicí.	Go now straight down the street.
rovně	straight	Pokračuj prosím rovně cestou.	Continue please straight on the path.
rovně	straight	Jeď pořád rovně silnicí.	Drive always straight on the road.
rovně	straight	Běž rychle rovně k parku.	Run quickly straight to the park.
rovně	straight	Jděte prosím rovně k nádraží.	Go please straight to the station.
doprava	to the right	Zahněte teď doprava na rohu.	Turn now right at the corner.
doprava	to the right	Otoč se rychle doprava teď.	Turn yourself quickly right now.
doprava	to the right	Jdi pomalu doprava k divadlu.	Go slowly right towards the theater.
doprava	to the right	Jeď rovně doprava ke kinu.	Drive straight right to the cinema.
doprava	to the right	Běž rychle doprava k poště.	Run quickly right to the post office.
doleva	to the left	Zahněte prosím doleva u mostu.	Turn please left at the bridge.
doleva	to the left	Otoč se rychle doleva teď.	Turn yourself quickly left now.
doleva	to the left	Jdi pomalu doleva ke škole.	Go slowly left towards the school.
doleva	to the left	Jeď rovně doleva k hotelu.	Drive straight left to the hotel.
doleva	to the left	Běž rychle doleva k bance.	Run quickly left to the bank.
zpátky	back	Vrať se prosím zpátky domů.	Return please back home.
zpátky	back	Jdi teď zpátky k nádraží.	Go now back to the station.
zpátky	back	Jeď rychle zpátky ke kinu.	Drive quickly back to the cinema.
zpátky	back	Běž pomalu zpátky k divadlu.	Run slowly back to the theater.
zpátky	back	Vraťte se prosím zpátky k parku.	Return please back to the park.
zahnout	turn	Zahněte prosím na té křižovatce.	Turn please at that intersection.
zahnout	turn	Zahneme teď doleva rychle.	We turn now left quickly.
zahnout	turn	Zahněte prosím doprava u kostela.	Turn please right at the church.
zahnout	turn	Zahneme rovně teď k muzeu.	We turn straight now to the museum.
zahnout	turn	Zahněte prosím za tím rohem.	Turn please behind that corner.
kruhový objezd	roundabout	Jeď kolem toho kruhového objezdu.	Drive around that roundabout.
kruhový objezd	roundabout	Zahněte prosím na kruhovém objezdu.	Turn please at the roundabout.
kruhový objezd	roundabout	Vyjeď teď z kruhového objezdu.	Exit now from the roundabout.
kruhový objezd	roundabout	Jdi pomalu ke kruhovému objezdu.	Go slowly to the roundabout.
kruhový objezd	roundabout	Parkuj prosím u kruhového objezdu.	Park please near the roundabout.
křižovatka	intersection	Přejdi prosím křižovatku opatrně teď.	Cross please the intersection carefully now.
křižovatka	intersection	Zahněte prosím na té křižovatce.	Turn please at that intersection.
křižovatka	intersection	Čekej prosím na té křižovatce.	Wait please at that intersection.
křižovatka	intersection	Jdi rychle přes tu křižovatku.	Go quickly across that intersection.
křižovatka	intersection	Auto stojí teď na křižovatce.	The car stands now at the intersection.
roh	corner	Zahněte prosím za tím rohem.	Turn please behind that corner.
roh	corner	Obchod je teď za rohem.	The shop is now around the corner.
roh	corner	Kavárna stojí vždy na rohu.	The café always stands on the corner.
roh	corner	Jdi prosím k tomu rohu.	Go please to that corner.
roh	corner	Pes čeká vždy za rohem.	The dog always waits around the corner.
přejít	cross	Přejdi prosím ulici teď rychle.	Cross please the street now quickly.
přejít	cross	Přejděte prosím silnici opatrně vždy.	Cross please the road carefully always.
přejít	cross	Přejdu teď most velmi rychle.	I cross now the bridge very quickly.
přejít	cross	Přejdi prosím cestu k parku.	Cross please the path to the park.
přejít	cross	Přejděte prosím náměstí pomalu teď.	Cross please the square slowly now.
knihovna	library	Jdi prosím ke knihovně rovně.	Go please to the library straight.
knihovna	library	Knihovna je teď doleva vždy.	The library is now left always.
knihovna	library	Vrať se prosím ke knihovně.	Return please to the library.
knihovna	library	Parkuj prosím vždy u knihovny.	Park please always near the library.
knihovna	library	Čekej prosím před tou knihovnou.	Wait please in front of that library.
divadlo	theater	Jeď prosím k divadlu doprava.	Drive please to the theater right.
divadlo	theater	Divadlo stojí vždy na náměstí.	The theater always stands on the square.
divadlo	theater	Jdi prosím před to divadlo.	Go please in front of that theater.
divadlo	theater	Zahněte prosím vždy u divadla.	Turn please always at the theater.
divadlo	theater	Parkuj prosím za tím divadlem.	Park please behind that theater.
kino	cinema	Kino je teď za rohem.	The cinema is now around the corner.
kino	cinema	Jdi prosím ke kinu rovně.	Go please to the cinema straight.
kino	cinema	Běž rychle k tomu kinu.	Run quickly to that cinema.
kino	cinema	Zahněte prosím vždy u kina.	Turn please always at the cinema.
kino	cinema	Čekej prosím před tím kinem.	Wait please in front of that cinema.
nádraží	station	Nádraží je rovně vpředu vždy.	The station is straight ahead always.
nádraží	station	Jeď prosím k nádraží rychle.	Drive please to the station quickly.
nádraží	station	Vrať se prosím k nádraží.	Return please to the station.
nádraží	station	Parkuj prosím vždy u nádraží.	Park please always near the station.
nádraží	station	Jdi prosím z nádraží ven.	Go please from the station out.
autobusová zastávka	bus stop	Zastávka je teď doleva vždy.	The bus stop is now left always.
autobusová zastávka	bus stop	Jdi prosím k zastávce teď.	Go please to the bus stop now.
autobusová zastávka	bus stop	Čekej prosím vždy na zastávce.	Wait please always at the bus stop.
autobusová zastávka	bus stop	Zahněte prosím k té zastávce.	Turn please towards that bus stop.
autobusová zastávka	bus stop	Běž rychle k té zastávce.	Run quickly to that bus stop.
metro	subway	Metro je vždy pod náměstím.	The subway is always under the square.
metro	subway	Jdi prosím k metru rovně.	Go please to the subway straight.
metro	subway	Vstupte prosím teď do metra.	Enter please now the subway.
metro	subway	Vyjeď prosím z metra ven.	Exit please from the subway out.
metro	subway	Parkuj prosím vždy u metra.	Park please always near the subway.
letiště	airport	Jeď prosím k letišti rovně.	Drive please to the airport straight.
letiště	airport	Letiště je teď velmi daleko.	The airport is now very far.
letiště	airport	Vrať se prosím z letiště.	Return please from the airport.
letiště	airport	Parkuj prosím před letištěm vždy.	Park please in front of the airport always.
letiště	airport	Jdi prosím k letišti pomalu.	Go please to the airport slowly.
nemocnice	hospital	Nemocnice je teď za rohem.	The hospital is now around the corner.
nemocnice	hospital	Jeď prosím k nemocnici rychle.	Drive please to the hospital quickly.
nemocnice	hospital	Parkuj prosím vždy u nemocnice.	Park please always near the hospital.
nemocnice	hospital	Jdi prosím před tu nemocnici.	Go please in front of that hospital.
nemocnice	hospital	Zahněte prosím vždy u nemocnice.	Turn please always at the hospital.
pošta	post office	Pošta stojí vždy na rohu.	The post office always stands on the corner.
pošta	post office	Jdi prosím k poště doleva.	Go please to the post office left.
pošta	post office	Zahněte prosím vždy k poště.	Turn please always towards the post office.
pošta	post office	Čekej prosím před tou poštou.	Wait please in front of that post office.
pošta	post office	Běž rychle k té poště.	Run quickly to that post office.
park	park	Park je rovně vlevo vždy.	The park is straight left always.
park	park	Jdi prosím do parku teď.	Go please into the park now.
park	park	Běž rychle kolem toho parku.	Run quickly around that park.
park	park	Parkuj prosím vždy u parku.	Park please always near the park.
park	park	Zahněte prosím vždy k parku.	Turn please always towards the park.
škola	school	Škola je teď za mostem.	The school is now behind the bridge.
škola	school	Jdi prosím ke škole rovně.	Go please to the school straight.
škola	school	Zahněte prosím vždy u školy.	Turn please always at the school.
škola	school	Čekej prosím před tou školou.	Wait please in front of that school.
škola	school	Běž rychle k té škole.	Run quickly to that school.
