czech_word	english_translation	czech_sentence	english_sentence
hledal	searched	Medvěd Josef hledal svůj med po celém nepořádném pokoji.	Bear Joseph searched for his honey all over the messy room.
vystoupil	climbed up	Nejprve vystoupil nahoru na skříň, ale shora nic neviděl.	First he climbed up onto the wardrobe, but from above he saw nothing.
slezl	climbed down	Potom slezl dolů a prošel pod stolem, kde byla tma.	Then he climbed down and walked under the table, where it was dark.
visela	hung	Nad hlavou mu visela lampa, ale ta nesvítila.	A lamp hung above his head, but it wasn't shining.
přehoupl	climbed over	Přes hromadu knih se přehoupl, aby se dostal dál.	He climbed over a pile of books to get further.
ležela	lay	Blízko okna ležela stará deka, ale pod ní nic nebylo.	Near the window lay an old blanket, but there was nothing under it.
stál	stood	Daleko odtud stál velký stůl, kam potřeboval dojít.	Far from there stood a big table, which he needed to reach.
vylezl	climbed up	Před sebou uviděl židli, tak na ni vylezl.	In front of him he saw a chair, so he climbed onto it.
ležel	lay	Za židlí ležel ručník, ale pod ním nebyl med.	Behind the chair lay a towel, but there was no honey under it.
stál	stood	Vedle stolu stál velký koš, plný starých novin.	Next to the table stood a large basket, full of old newspapers.
proklouzl	slipped through	Mezi dvěma starými židlemi proklouzl, ale nic tam nenašel.	He slipped between two old chairs, but found nothing there.
seděla	sat	U krbu seděla kočka, ale ta mu nepomohla.	A cat sat by the fireplace, but it didn't help him.
stál	stood	Na poličce stál malý hrnec, ale byl úplně prázdný.	On the shelf stood a small pot, but it was completely empty.
šel	went	V tom hrnci byla jen pavučina, tak šel dál.	There was only a cobweb in that pot, so he went on.
stála	stood	Proti zdi stála velká truhla, ale ta byla zamčená.	Against the wall stood a large chest, but it was locked.
povalovaly	were lying around	Po zemi se povalovaly ponožky, o něž zakopl.	Socks were lying around on the floor, and he tripped over them.
našel	found	Při dveřích našel starý batoh, ale nebyl jeho.	By the door he found an old backpack, but it wasn't his.
zaslechl	heard	Bez naděje už chtěl vzdát, však zaslechl bzučení.	He was about to give up without hope, however he heard a buzzing sound.
vydal	headed	Pro ten zvuk se vydal směrem k oknu.	He headed towards the window for that sound.
došel	reached	Mimo křeslo a lampu došel k velkému hrnci.	Passing the armchair and the lamp, he reached a large pot.
vlezl	climbed into	Dovnitř toho hrnce vlezl, ale hned se zasekl.	He climbed into that pot, but immediately got stuck.
vztekal	got angry	Ven se nemohl dostat, a tak se vztekal.	He couldn't get out, so he got angry.
uviděl	saw	Skrz malou dírku však uviděl zlatavý lesk medu.	Through a small hole, however, he saw the golden gleam of honey.
plazil	crawled	Pak se plazil kolem stolku a okolo kbelíku.	Then he crawled around the small table and around the bucket.
dostal	got	Podél zdi se dostal až k protější stěně.	Along the wall he got all the way to the opposite wall.
převalil	rolled over	Napříč celým kobercem se převalil, ale přitom klouzal.	He rolled over across the entire carpet, but slipped while doing so.
zahlédl	caught sight of	Skrze otevřené dveře zahlédl svůj vytoužený hrnec medu.	Through the open door he caught sight of his longed-for honey pot.
stál	stood	Uprostřed místnosti na stole stál přesně ten pravý.	Right in the middle of the room on the table stood the exact right one.
přidržel	held on	Okrajem stolu se přidržel a opatrně natáhl tlapu.	He held on to the edge of the table and carefully stretched out his paw.
naklonil	leaned	Směrem k hrnci se naklonil a konečně ho chytil.	He leaned towards the pot and finally grabbed it.
ležela	lay	Stranou ležela malá lžička, ale tu vůbec nepotřeboval.	A small spoon lay to the side, but he didn't need it at all.
prohlédl	examined	Zpředu i zepředu si hrnec prohlédl, byl krásný.	He examined the pot from the front and from the front, it was beautiful.
měl	had	Zezadu měl starou etiketu, ale ta ho nezajímala.	From the back it had an old label, but that didn't interest him.
byl	was	Shora i zdola byl med čistý a voňavý.	From above and below, the honey was pure and fragrant.
cítil	smelled	Zevnitř cítil sladkou medovou vůni, která ho lákala.	From the inside he smelled a sweet honey scent that attracted him.
byl	was	Zvenčí byl hrnec jen plechový, ale to nevadilo.	From the outside the pot was just tin, but that didn't matter.
našel	found	Tak našel svůj med na druhém konci pokoje.	And so he found his honey at the other end of the room.
vrátit	return	A teď se musí vrátit zpět, a tak jde od stolu pryč.	And now he must return back, so he goes away from the table.
opouští	leaves	Nejprve opouští místo u druhého konce, ale s radostí.	First he leaves the place at the other end, but happily.
kráčí	walks	Potom kráčí zpátky skrze dveře, avšak teď jsou zavřené.	Then he walks back through the door, however now it is closed.
plazí	crawls	Přesto se plazí napříč kobercem, ale tentokrát bez klouzání.	Nevertheless, he crawls across the carpet, but this time without slipping.
jde	goes	Pak jde podél zdi, nicméně musí dávat pozor.	Then he goes along the wall, however he has to be careful.
prochází	passes	Okolo kbelíku a kolem stolku prochází, ovšem opatrně.	He passes around the bucket and the small table, but carefully.
dívá	looks	Skrz dírku v hrnci se dívá, ale med už nemá.	He looks through the hole in the pot, but he doesn't have the honey anymore.
vyleze	climbs out	Ven z hrnce vyleze, přitom se trochu škrábe.	He climbs out of the pot, scratching himself a little in the process.
vrátí	returns	Dovnitř se už nevrátí, však musí dál pokračovat.	He won't return inside anymore, but he must continue further.
pokračovat	continue	Mimo křeslo a lampu jde, ale teď je to snazší.	He goes past the armchair and the lamp, but now it's easier.
otáčí	turns	Směrem k oknu se otáčí, ale pak jde jinudy.	He turns towards the window, but then goes another way.
netouží	doesn't long for	Pro ten med už netouží, však musí domů.	He no longer longs for that honey, but he must go home.
prochází	walks through	Bez bázně prochází kolem dveří, přesto potkává kočku.	He walks past the door without fear, yet he meets the cat.
zastaví	stops	Při krbu se zastaví, avšak kočka mu mává.	He stops by the fireplace, but the cat waves at him.
neopírá	doesn't lean	O nic se neopírá, ale jde rovně dál.	He doesn't lean on anything, but walks straight on.
kráčí	walks	Po zemi kráčí, ačkoli tam leží staré ponožky.	He walks on the floor, although old socks lie there.
opírá	leans	Proti zdi se opírá, ale jen na chvíli.	He leans against the wall, but only for a moment.
byl	was	V tom hrnci už nebyl, takže jde dál.	He wasn't in that pot anymore, so he goes on.
dívá	looks	Na poličku se dívá, ale ta je prázdná.	He looks at the shelf, but it is empty.
nesedí	isn't sitting	U krbu už kočka nesedí, takže jde rychle.	The cat isn't sitting by the fireplace anymore, so he goes quickly.
prochází	walks through	Mezi židlemi prochází, ale teď jsou od sebe dál.	He walks between the chairs, but now they are further apart.
míjí	passes	Vedle stolu míjí velký koš, který ho neláká.	He passes by the table, passing the large basket, which doesn't attract him.
nehledá	doesn't look for	Za židlí nic nehledá, však už má svůj med.	He doesn't look for anything behind the chair, because he already has his honey.
nesedá	doesn't sit	Na židli si teď nesedá, protože strašně spěchá.	He doesn't sit on the chair now, because he is in a terrible hurry.
vidí	sees	Před sebou vidí světlý východ, tak se raduje.	He sees a bright exit ahead, so he rejoices.
domov	home	Daleko odtud je už domov, ale musí dojít.	Home is already far from there, but he must get there.
projde	walks through	Blízko okna projde, ačkoli tam leží stará deka.	He walks past the window, although an old blanket lies there.
nepřeskakuje	doesn't jump over	Přes knihy už nepřeskakuje, ale raději obchází je.	He doesn't jump over the books anymore, but rather walks around them.
nevisí	doesn't hang	Nad lampou nic nevisí, takže jde pod ní.	Nothing hangs above the lamp, so he walks under it.
neplazí	doesn't crawl	Pod stolem se neplazí, ale jde okolo něj.	He doesn't crawl under the table, but goes around it.
nechodí	doesn't go	Dolů už nechodí, protože je teď v přízemí.	He doesn't go down anymore, because he is now on the ground floor.
nemusí	doesn't have to	Nahoru už nemusí, takže jde rovnou ven dveřmi.	He doesn't have to go up anymore, so he goes straight out the door.
venku	outside	A konečně je venku – celý šťastný, s medem v tlapě.	And finally he is outside – completely happy, with honey in his paw.
