czech_word	english_translation	czech_sentence	english_sentence
v / ve	in	Pes je v malém domě.	The dog is in the small house.
v / ve	in	Kočka je v malé krabici.	The cat is in the small box.
v / ve	in	Dítě je v malém autě.	The child is in the small car.
v / ve	in	Muž bydlí v novém bytě.	The man lives in the new apartment.
v / ve	in	Žena pracuje v nové škole.	The woman works in the new school.
na	on	Kniha leží na velkém stole.	The book lies on the big table.
na	on	Taška visí na nové židli.	The bag hangs on the new chair.
na	on	Světlo svítí na malém okně.	The light shines on the small window.
na	on	Děti hrají na širokém poli.	The children play on the wide field.
na	on	Pes spí na měkké dece.	The dog sleeps on the soft blanket.
pod	under	Míč je pod nízkým stolem.	The ball is under the low table.
pod	under	Kočka leží pod teplou dekou.	The cat lies under the warm blanket.
pod	under	Hračka zmizela pod těžkou skříní.	The toy disappeared under the heavy cabinet.
pod	under	Dítě sedí pod vysokým stromem.	The child sits under the tall tree.
pod	under	Klíč leží pod starým kobercem.	The key lies under the old carpet.
nad	above	Lampa visí nad kulatým stolem.	The lamp hangs above the round table.
nad	above	Oblak pluje nad zelenou horou.	The cloud floats above the green mountain.
nad	above	Pták krouží nad malým městem.	The bird circles above the small town.
nad	above	Most vede nad širokou řekou.	The bridge leads above the wide river.
nad	above	Světlo plane nad tmavým lesem.	The light burns above the dark forest.
před	in front of	Auto čeká před bílým domem.	The car waits in front of the white house.
před	in front of	Dítě stojí před malou školou.	The child stands in front of the small school.
před	in front of	Pes sedí před novým autem.	The dog sits in front of the new car.
před	in front of	Muž čeká před vysokou budovou.	The man waits in front of the tall building.
před	in front of	Květiny rostou před nízkým plotem.	Flowers grow in front of the low fence.
za	behind	Kočka se schovala za velkým stromem.	The cat hid behind the big tree.
za	behind	Míč kutálí za starou zdí.	The ball rolls behind the old wall.
za	behind	Cesta vede za nové město.	The road leads behind the new town.
za	behind	Dům stojí za vysokým plotem.	The house stands behind the tall fence.
za	behind	Pes běží za malým dítětem.	The dog runs behind the small child.
mezi	between	Stůl stojí mezi dvěma okny.	The table stands between two windows.
mezi	between	Kočka spí mezi polštáři.	The cat sleeps between the pillows.
mezi	between	Dítě hraje mezi hradbami.	The child plays between the walls.
mezi	between	Pes leží mezi židlemi.	The dog lies between the chairs.
mezi	between	Kniha leží mezi papíry.	The book lies between the papers.
kolem	around	Běžím kolem velkého domu.	I run around the big house.
kolem	around	Chodím kolem staré školy.	I walk around the old school.
kolem	around	Jedeme kolem nového města.	We drive around the new town.
kolem	around	Pes obíhá kolem vysokého stromu.	The dog runs around the tall tree.
kolem	around	Děti hrají kolem malého jezera.	The children play around the small lake.
k / ke	towards	Jdu k velkému domu.	I go towards the big house.
k / ke	towards	Běžím k malé škole.	I run towards the small school.
k / ke	towards	Plavu k novému městu.	I swim towards the new town.
k / ke	towards	Vracím se k vysoké budově.	I return towards the tall building.
k / ke	towards	Pes běží k malému dítěti.	The dog runs towards the small child.
od	from	Přicházím od velkého domu.	I come from the big house.
od	from	Jdu od malé školy.	I go from the small school.
od	from	Vracím se od nového města.	I return from the new town.
od	from	Pes utíká od vysokého stromu.	The dog runs away from the tall tree.
od	from	Dítě přichází od modrého domu.	The child comes from the blue house.
přes	over	Skáču přes vysoký plot.	I jump over the tall fence.
přes	over	Letíme přes zelenou horu.	We fly over the green mountain.
přes	over	Jedeme přes nové město.	We drive through the new town.
přes	over	Přecházím přes širokou ulici.	I cross the wide street.
přes	over	Míč letí přes malé okno.	The ball flies over the small window.
u	near	Bydlím u velkého lesa.	I live near the big forest.
u	near	Škola stojí u malé řeky.	The school stands near the small river.
u	near	Park leží u nového nádraží.	The park lies near the new station.
u	near	Kavárna je u vysoké budovy.	The café is near the tall building.
u	near	Děti hrají u malého jezera.	The children play near the small lake.
do	into	Jdu do velkého domu.	I go into the big house.
do	into	Vcházím do malé školy.	I enter the small school.
do	into	Jedeme do nového města.	We drive into the new town.
do	into	Pes vbíhá do vysoké trávy.	The dog runs into the tall grass.
do	into	Dítě skáče do studené vody.	The child jumps into the cold water.
