czech_word	english_translation	czech_sentence	english_sentence
seděl	sat	Starý muž Karel seděl s malou Ájou na lavičce v parku.	Old man Karel sat with little Ája on a bench in the park.
zeptala	asked	Ája se zeptala: „Dědečku, co jsi dělal celý život?“	Ája asked: "Grandpa, what did you do all your life?"
usmál	smiled	Karel se usmál a začal vyprávět, zatímco slunce zapadalo.	Karel smiled and began to tell stories, while the sun was setting.
léčil	treated	Byl jsem lékařem a léčil jsem rýmu i zlomené kosti.	I was a doctor and treated colds and broken bones.
stál	stood	U postele jsem stál v noci, ačkoli jsem býval unavený.	I stood by the bed at night, although I used to be tired.
předepisoval	prescribed	Jako doktor jsem předepisoval pilulky a kapky.	As a doctor I prescribed pills and drops.
děkoval	thanked	Každý pacient mi děkoval, i když jsem ho jen pohladil.	Every patient thanked me, even if I only stroked them.
pracoval	worked	Pracoval jsem i jako zdravotní sestra, přestože jsem chlap.	I also worked as a nurse, even though I am a man.
přebíjel	bandaged	Přebíjel jsem rány a utěšoval plačící děti.	I bandaged wounds and comforted crying children.
ošetřoval	cared for	Ošetřoval jsem staré lidi v domově důchodců.	I cared for old people in a retirement home.
pomáhal	helped	Pomáhal jsem jim jíst, i když jim ruce drkotaly.	I helped them eat, even when their hands trembled.
vrtal	drilled	Byl jsem zubařem a vrtal jsem zuby a plomboval kazy.	I was a dentist and drilled teeth and filled cavities.
chválil	praised	Pacienti se třásli, ale já je vždy chválil.	Patients trembled, but I always praised them.
míchal	mixed	Za pultem lékárníka jsem míchal masti a sirupy.	Behind the pharmacist's counter I mixed ointments and syrups.
zkoumal	examined	Zkoumal jsem etikety, leč často jsem jen počítal pilulky.	I examined labels, but often I just counted pills.
vytvářel	created	Jako farmaceut jsem v laboratoři vytvářel nové léky.	As a pharmacist I created new medicines in the laboratory.
nevzdal	gave up	Moje pokusy selhaly, avšak nikdy jsem to nevzdal.	My experiments failed, but I never gave up.
řezal	cut	Chirurgem jsem řezal břicha a šil tepny zpátky.	As a surgeon I cut open abdomens and sewed arteries back together.
brousil	sharpened	Můj skalpel byl ostrý, protože jsem ho brousil každé ráno.	My scalpel was sharp, because I sharpened it every morning.
spěchal	rushed	Záchranářem jsem spěchal k nehodám se sirénou v noci.	As a paramedic I rushed to accidents with a siren at night.
vytahoval	pulled out	Vytahoval jsem lidi z aut, ač mi tekla krev.	I pulled people out of cars, although blood was flowing from me.
léčil	treated	Jako veterinář jsem léčil psy, kočky a papouška.	As a veterinarian I treated dogs, cats and a parrot.
olizovalo	licked	Každé zvíře mi olizovalo ruku, načež jsem se usmál.	Every animal licked my hand, and then I smiled.
poslouchal	listened	Byl jsem psychologem a poslouchal smutné příběhy za dveřmi.	I was a psychologist and listened to sad stories behind the door.
přikyvoval	nodded	Nikdy jsem neradil, pouze jsem tiše přikyvoval.	I never advised, I only nodded quietly.
předepisoval	prescribed	Jako psychiatr jsem předepisoval prášky na úzkost.	As a psychiatrist I prescribed pills for anxiety.
smáli	laughed	Moji pacienti plakali, ale po týdnu se smáli.	My patients cried, but after a week they laughed.
cvičil	trained	Fyzioterapeutem jsem cvičil s lidmi po úrazech denně.	As a physiotherapist I trained with people after injuries every day.
ukazoval	showed	Ukazoval jsem jim protahování, přestože mě bolela záda.	I showed them stretching, even though my back hurt.
pomáhal	helped	Pomáhal jsem jako porodní asistentka, i když jsem muž.	I helped as a midwife, even though I am a man.
držel	held	Držel jsem ruce rodiček a křik byl hudbou.	I held the hands of mothers in labour, and the screaming was music.
brousil	ground	Byl jsem optikem a brousil sklíčka do obrub.	I was an optician and ground lenses into frames.
hleděl	stared	Lidé pak viděli jasně, zatímco já hleděl do čoček.	People then saw clearly, while I stared into the lenses.
učil	taught	Jako učitel jsem stál před tabulí a učil počty.	As a teacher I stood in front of the blackboard and taught arithmetic.
měl	had	Děti zlobily, avšak já měl trpělivost jako skála.	Children misbehaved, but I had patience like a rock.
přednášel	lectured	Na univerzitě jsem profesorem přednášel o historii.	At the university I lectured as a professor on history.
mluvil	spoke	Studenti dřímali, ale já mluvil dál s nadšením.	Students dozed off, but I kept speaking with enthusiasm.
staral	cared for	Vychovatelem jsem se staral o kluky v domově.	As an educator I cared for the boys in the children's home.
četl	read	Hráli jsme fotbal a pak jsem jim četl pohádky.	We played football and then I read them fairy tales.
učil	taught	Lektorem jsem učil cizince mluvit česky bez chyb.	As a lecturer I taught foreigners to speak Czech without mistakes.
opravoval	corrected	Opravoval jsem výslovnost, ačkoli oni mě pletli.	I corrected their pronunciation, although they confused me.
podepisoval	signed	Jako ředitel školy jsem seděl v kanceláři a podepisoval.	As a school principal I sat in the office and signed documents.
řešil	resolved	Řešil jsem spory učitelů, přestože jsem chtěl učit.	I resolved disputes among teachers, even though I wanted to teach.
vodil	led	Vedoucím kroužku jsem vodil děti do lesa na výlety.	As a club leader I took children on trips to the forest.
sbírali	collected	Sbírali jsme houby, ale jednou jsme našli jen lišky.	We collected mushrooms, but once we only found chanterelles.
psal	wrote	Byl jsem programátorem a psal kódy dlouhé hodiny.	I was a programmer and wrote code for long hours.
hledal	searched	Obrazovka svítila, zatímco já hledal chyby v řádcích.	The screen was glowing while I searched for errors in the lines.
vytvářel	created	Jako vývojář jsem vytvářel hry pro malé hráče.	As a developer I created games for little players.
padala	crashed	Grafika byla krásná, ale hra padala každou chvíli.	The graphics were beautiful, but the game crashed every moment.
navrhoval	designed	Softwarovým inženýrem jsem navrhoval systémy pro banky.	As a software engineer I designed systems for banks.
běželo	ran	Všechno běželo hladce, dokud jsem nezmáčkl špatné tlačítko.	Everything ran smoothly until I pressed the wrong button.
prohledával	searched through	Datovým analytikem jsem prohledával tuny čísel v tabulkách.	As a data analyst I searched through tons of numbers in spreadsheets.
našel	found	Našel jsem jednu odchylku, jež změnila celý závěr.	I found one deviation that changed the entire conclusion.
opravoval	repaired	Správcem sítě jsem opravoval kabely v suterénu.	As a network administrator I repaired cables in the basement.
rozsvítil	turned on	Světla blikala, ale já je vždy rozsvítil znovu.	The lights flickered, but I always turned them back on.
restartoval	restarted	IT specialista chodil k lidem a restartoval počítače.	An IT specialist went to people and restarted computers.
říkal	said	Říkal jsem: „Vypněte a zapněte“, to byl celý můj trik.	I said: "Turn it off and on again", that was my whole trick.
rozbíjel	broke	Jako tester jsem rozbíjel programy, abych našel slabiny.	As a tester I broke programs to find weaknesses.
nahlásil	reported	Každou chybu jsem nahlásil, ač vývojáři zlobili.	I reported every bug, even though the developers got upset.
