czech_word	english_translation	czech_sentence	english_sentence
když	when	Když přijdu domů, odpočinu si.	When I get home, I rest.
tento	this	Tento člověk je milý.	This person is nice.
už	already	Už to znám.	I already know it.
všechen	all	Všechen čas je pryč.	All the time is gone.
jak	how	Jak to víš?	How do you know?
od	from	Dostal jsem dopis od tebe.	I got a letter from you.
aby	so that	Řekl to, aby pomohl.	He said it so that he could help.
nebo	or	Chceš čaj nebo kávu.	Do you want tea or coffee.
jeho	his	To je jeho auto.	That is his car.
jen	only	Mám jen jednu otázku.	I have only one question.
jeden	one	Jeden den stačí.	One day is enough.
člověk	person	Každý člověk chybuje.	Every person makes mistakes.
u	at	Bydlím u rodičů.	I live at my parents’ place.
muset	must	Musím jít domů.	I must go home.
velký	big	To je velký problém.	That is a big problem.
chtít	want	Chci nový telefon.	I want a new phone.
jenž	who	Člověk, jenž přišel, odešel.	The person who came left.
my	we	My to zvládneme.	We will manage it.
říci	to say	Chci říci pravdu.	I want to say the truth.
než	than	Jsem rychlejší než ty.	I am faster than you.
pak	then	Pak půjdeme ven.	Then we will go outside.
jít	to go	Půjdu tam zítra.	I will go there tomorrow.
při	at	Při práci poslouchám hudbu.	I listen to music while working.
vědět	to know	Nechci vědět víc.	I don’t want to know more.
také	also	Také jsem tam byl.	I was there too.
dva	two	Mám dva bratry.	I have two brothers.
další	another	Potřebuji další příklad.	I need another example.
před	before	Před domem stojí auto.	There is a car in front of the house.
stát	to stand	Auto stojí na ulici.	The car stands on the street.
nový	new	Mám nový počítač.	I have a new computer.
vy	you (plural)	Vy to víte.	You know it.
celý	whole	Celý den prší.	It rains the whole day.
ještě	still	Ještě čekám.	I am still waiting.
ani	not even	Nevidím ani jedno auto.	I don’t see even one car.
hodně	a lot	Hodně pracuji.	I work a lot.
její	her	To je její kniha.	That is her book.
jiný	other	Chci jiný příklad.	I want another example.
můj	my	To je můj dům.	That is my house.
první	first	To je můj první den.	This is my first day.
jejich	their	To je jejich auto.	That is their car.
až	until	Počkám až do večera.	I will wait until evening.
podle	according to	Podle mě je to pravda.	According to me it is true.
dobrý	good	To je dobrý nápad.	That is a good idea.
mezi	between	Mezi lidmi je ticho.	There is silence among people.
kde	where	Kde jsi byl?	Where were you?
ty	you (singular)	Ty to víš.	You know it.
však	however	Však to není jisté.	However, it is not certain.
dát	to give	Dám ti dárek.	I will give you a gift.
