"být<br><br><a href=""https://www.perplexity.ai/search?q=Explain+what+this+sentence+means+in+simple+terms.+Break+down+grammatical+concepts%3A+Chci+b%C3%BDt+doma."" target=""_blank"" style=""color: inherit; text-decoration: none;"">Chci <span style=""color:#06c; font-weight:bold;"">být</span> doma.</a>"	"to be<br><br>I want <span style=""color:#06c; font-weight:bold;"">to be</span> home."
"a<br><br><a href=""https://www.perplexity.ai/search?q=Explain+what+this+sentence+means+in+simple+terms.+Break+down+grammatical+concepts%3A+M%C3%A1ma+a+t%C3%A1ta."" target=""_blank"" style=""color: inherit; text-decoration: none;"">Máma <span style=""color:#06c; font-weight:bold;"">a</span> táta.</a>"	"and<br><br>Mom <span style=""color:#06c; font-weight:bold;"">and</span> dad."
"se<br><br><a href=""https://www.perplexity.ai/search?q=Explain+what+this+sentence+means+in+simple+terms.+Break+down+grammatical+concepts%3A+On+se+myje."" target=""_blank"" style=""color: inherit; text-decoration: none;"">On <span style=""color:#06c; font-weight:bold;"">se</span> myje.</a>"	oneself<br><br>He washes himself.
"v<br><br><a href=""https://www.perplexity.ai/search?q=Explain+what+this+sentence+means+in+simple+terms.+Break+down+grammatical+concepts%3A+Jsem+v+aut%C4%9B."" target=""_blank"" style=""color: inherit; text-decoration: none;"">Jsem <span style=""color:#06c; font-weight:bold;"">v</span> autě.</a>"	"in<br><br>I am <span style=""color:#06c; font-weight:bold;"">in</span> the car."
"na<br><br><a href=""https://www.perplexity.ai/search?q=Explain+what+this+sentence+means+in+simple+terms.+Break+down+grammatical+concepts%3A+K%C3%A1va+je+na+stole."" target=""_blank"" style=""color: inherit; text-decoration: none;"">Káva je <span style=""color:#06c; font-weight:bold;"">na</span> stole.</a>"	"on<br><br>Coffee is <span style=""color:#06c; font-weight:bold;"">on</span> the table."
"ten<br><br><a href=""https://www.perplexity.ai/search?q=Explain+what+this+sentence+means+in+simple+terms.+Break+down+grammatical+concepts%3A+Ten+d%C5%AFm+je+velk%C3%BD."" target=""_blank"" style=""color: inherit; text-decoration: none;""><span style=""color:#06c; font-weight:bold;"">Ten</span> dům je velký.</a>"	that / the<br><br>That house is big.
"s<br><br><a href=""https://www.perplexity.ai/search?q=Explain+what+this+sentence+means+in+simple+terms.+Break+down+grammatical+concepts%3A+Jdu+s+t%C3%A1tou."" target=""_blank"" style=""color: inherit; text-decoration: none;"">Jdu <span style=""color:#06c; font-weight:bold;"">s</span> tátou.</a>"	"with<br><br>I am going <span style=""color:#06c; font-weight:bold;"">with</span> dad."
"že<br><br><a href=""https://www.perplexity.ai/search?q=Explain+what+this+sentence+means+in+simple+terms.+Break+down+grammatical+concepts%3A+V%C3%ADm%2C+%C5%BEe+jsi+tady."" target=""_blank"" style=""color: inherit; text-decoration: none;"">Vím, <span style=""color:#06c; font-weight:bold;"">že</span> jsi tady.</a>"	"that<br><br>I know <span style=""color:#06c; font-weight:bold;"">that</span> you are here."
"on<br><br><a href=""https://www.perplexity.ai/search?q=Explain+what+this+sentence+means+in+simple+terms.+Break+down+grammatical+concepts%3A+On+m%C3%A1+psa."" target=""_blank"" style=""color: inherit; text-decoration: none;""><span style=""color:#06c; font-weight:bold;"">On</span> má psa.</a>"	"he<br><br><span style=""color:#06c; font-weight:bold;"">He</span> has a dog."
"z<br><br><a href=""https://www.perplexity.ai/search?q=Explain+what+this+sentence+means+in+simple+terms.+Break+down+grammatical+concepts%3A+Jsem+z+Prahy."" target=""_blank"" style=""color: inherit; text-decoration: none;"">Jsem <span style=""color:#06c; font-weight:bold;"">z</span> Prahy.</a>"	"from<br><br>I am <span style=""color:#06c; font-weight:bold;"">from</span> Prague."
"který<br><br><a href=""https://www.perplexity.ai/search?q=Explain+what+this+sentence+means+in+simple+terms.+Break+down+grammatical+concepts%3A+To+je+d%C5%AFm%2C+kter%C3%BD+zn%C3%A1m."" target=""_blank"" style=""color: inherit; text-decoration: none;"">To je dům, <span style=""color:#06c; font-weight:bold;"">který</span> znám.</a>"	"which<br><br>That is the house <span style=""color:#06c; font-weight:bold;"">which</span> I know."
