czech_word	english_translation	czech_sentence	english_sentence
být	to be	Chci být doma.	I want to be home.
a	and	Máma a táta.	Mom and dad.
se	oneself	On se myje.	He washes himself.
v	in	Jsem v autě.	I am in the car.
na	on	Káva je na stole.	Coffee is on the table.
ten	that / the	Ten dům je velký.	That house is big.
s	with	Jdu s tátou.	I am going with dad.
že	that	Vím, že jsi tady.	I know that you are here.
on	he	On má psa.	He has a dog.
z	from	Jsem z Prahy.	I am from Prague.
který	which	To je dům, který znám.	That is the house which I know.
mít	to have	Chci mít kočku.	I want to have a cat.
do	into / to	Jdu do školy.	I am going to school.
o	about	Mluvím o škole.	I am talking about school.
ale	but	Je malý, ale milý.	He is small but nice.
k	to (towards)	Jdu k oknu.	I am going to the window.
i	also / even	Máma i táta jsou tu.	Mom and also dad are here.
já	I	Já jsem tady.	I am here.
jako	like / as	Je bílý jako sníh.	It is white like snow.
moci	can / to be able	Já mohu jít.	I can go.
svůj	one's own	Mám svůj dům.	I have my own house.
za	behind	Pes je za domem.	The dog is behind the house.
pro	for	To je pro tebe.	This is for you.
rok	year	Ten rok byl dobrý.	That year was good.
tak	so	Je tak velký!	It is so big!
po	after	Jdu po práci.	I go after work.
oni	they	Oni jsou doma.	They are at home.
co	what	Co je to?	What is it?
když	when	Spím, když prší.	I sleep when it rains.
tento	this	Tento kluk je milý.	This boy is nice.
už	already	Už jsem tady.	I am already here.
všechen	all	Mám všechen čas.	I have all the time.
jak	how	Jak se máš?	How are you?
od	from	To je od táty.	That is from dad.
aby	so that	Jím, aby byl klid.	I eat so that there is peace.
nebo	or	Čaj nebo káva?	Tea or coffee?
jeho	his	To je jeho auto.	That is his car.
jen	only	Mám jen pivo.	I only have beer.
jeden	one	Mám jeden dům.	I have one house.
člověk	person	Ten člověk je tu.	That person is here.
u	at / by	Jsem u auta.	I am at the car.
muset	must / have to	Musím jít.	I must go.
velký	big	Dům je velký.	The house is big.
chtít	to want	Chci kávu.	I want coffee.
jenž	who / which	To je muž, jenž pije.	That is the man who drinks.
my	we	My jsme doma.	We are at home.
říci	to say	Chci říci "ahoj".	I want to say "hello".
než	than	On je větší než já.	He is bigger than I.
pak	then	Jdu domů, pak spím.	I go home, then I sleep.
jít	to go	Jdu ven.	I am going out.
při	during / at	Spím při filmu.	I sleep during the movie.
vědět	to know	Já to vím.	I know it.
také	also	Já také piju.	I also drink.
dva	two	Mám dva psy.	I have two dogs.
další	another / next	Chci další pivo.	I want another beer.
před	in front of	Jsem před domem.	I am in front of the house.
stát	to stand	Chci tam stát.	I want to stand there.
nový	new	Mám nový dům.	I have a new house.
vy	you (plural/formal)	Vy jste tady.	You are here.
celý	whole	Mám celý den.	I have the whole day.
ještě	still / yet	Ještě jsem tu.	I am still here.
ani	not even	Nemám ani kávu.	I don't even have coffee.
hodně	a lot	Mám hodně času.	I have a lot of time.
její	her	To je její pes.	That is her dog.
jiný	other / different	Chci jiný dům.	I want a different house.
můj	my	To je můj táta.	That is my dad.
první	first	Je to první den.	It is the first day.
jejich	their	To je jejich dům.	That is their house.
až	until / when	Spím až do rána.	I sleep until morning.
podle	according to	Jdu podle mapy.	I go according to the map.
dobrý	good	Je to dobrý den.	It is a good day.
mezi	between	Jsem mezi domy.	I am between the houses.
kde	where	Kde jsi?	Where are you?
ty	you (singular)	Ty jsi tady.	You are here.
však	however / but	Je teplo, však prší.	It is warm, but it is raining.
dát	to give	Chci ti dát dárek.	I want to give you a gift.
tam	there	Jdu tam.	I am going there.
náš	our	To je náš pes.	That is our dog.
den	day	Je hezký den.	It is a nice day.
každý	every	Každý den piju kávu.	I drink coffee every day.
něco	something	Mám pro tebe něco.	I have something for you.
doba	time / period	Je to dobrá doba.	It is a good time.
druhý	second	To je můj druhý dům.	That is my second house.
