czech_word	english_translation	czech_sentence	english_sentence
hledala	searched	Eliška hledala ztracenou modrou obálku po celém městě.	Eliška searched for the lost blue envelope all over the city.
vyběhla	ran out	Vyběhla na ulici, přestože jí tekly slzy.	She ran out into the street, even though tears were flowing down her face.
prošla	walked through	Prošla kolem divadla, ale hledala jen úřad.	She walked past the theatre, but was only looking for the office.
zeptala	asked	Na hlavním nádraží se zeptala, leč marně.	She asked at the main railway station, but in vain.
připadalo	seemed	Autobusové nádraží jí připadalo jako bludiště.	The bus station seemed like a labyrinth to her.
byla	was	Stanice metra byla plná spěchajících stínů.	The metro station was full of hurrying shadows.
byla	was	Zastávka tramvaje byla prázdná, a tak šla dál.	The tram stop was empty, so she went on.
neporadila	didn't advise	Autobusová zastávka jí neporadila, však se nezlobila.	The bus stop didn't advise her, but she wasn't angry.
zamířila	headed	Zamířila k přístavu, kde vítr vál do tváře.	She headed to the harbour, where the wind blew in her face.
řekli	told	Na letišti jí řekli, že to není jejich věc.	At the airport they told her it wasn't their business.
ocitla	found herself	Ocitla se na velkém náměstí a rozhlédla se.	She found herself on the large square and looked around.
vedla	led	Úzká náves vedla k radnici s vysokou věží.	A narrow village square led to the town hall with a high tower.
prošla	walked through	Prošla rušnou ulicí a pak tichou uličkou.	She walked through a busy street and then a quiet alley.
dovedl	led	Široký bulvár ji dovedl k pěší zóně.	The wide boulevard led her to the pedestrian zone.
potkala	met	Na nábreží potkala starého pána s mapou.	On the embankment she met an old man with a map.
zastavila	stopped	Na křižovatce se zastavila, nerozhodná.	At the crossroads she stopped, undecided.
zmátl	confused	Kruhový objezd ji málem zmátl, ale prošla.	The roundabout almost confused her, but she got through.
seběhla	ran down	Seběhla dolů k mostu, pod nímž tekla řeka.	She ran down to the bridge, under which a river flowed.
byl	was	Nadchod nad silnicí byl prázdný jako její kapsa.	The footbridge over the road was as empty as her pocket.
prošla	walked through	Podchodem prošla, kde byla velká tma.	She walked through the underpass, where it was very dark.
plížila	crept	Dlouhým tunelem se plížila opatrně.	She crept carefully through the long tunnel.
došla	reached	Konečně došla k radnici, kde byl chaos.	Finally she reached the town hall, where there was chaos.
měl	had	Městský úřad měl zavřeno, ač byla otevřeno.	The municipal office was closed, although it was open.
poslala	sent	Krajský úřad poslal ji rovnou k soudu.	The regional office sent her straight to the courthouse.
dali	gave	U soudu jí dali další tiskopis.	At the courthouse they gave her another form.
stála	stood	Na poště stála fronta až ke dveřím.	At the post office the queue stretched all the way to the door.
vzdala	gave up	Na policejní stanici to vzdala.	At the police station she gave up.
byla	was	Hasičská zbrojnice byla zavřená, hořelo jí srdce.	The fire station was closed, her heart was burning.
prošla	walked past	Prošla kolem nemocnice, kde byl klid.	She walked past the hospital, where it was quiet.
dali	took	Na poliklinice si dali pauzu.	At the polyclinic they took a break.
koupila	bought	V lékárně si koupila pastilku proti bolesti.	In the pharmacy she bought a lozenge for pain.
nic	nothing	Porodnice, zubní ordinace, veterinární klinika - nic.	Maternity ward, dental surgery, veterinary clinic - nothing.
skončila	ended	Základní škola už dávno skončila.	Primary school had ended long ago.
měla	had	Střední škola měla prázdniny, gymnázium taky.	High school had holidays, so did the grammar school.
byly	were	Vysoká škola a univerzita byly tiché.	The college and university were quiet.
připomněly	reminded	Mateřská škola a jesle jí připomněly dětství.	Kindergarten and nursery reminded her of childhood.
vešla	entered	Vešla do knihovny, ale obálka tam nebyla.	She entered the library, but the envelope wasn't there.
poslala	sent	Městská knihovna ji poslala do archivu.	The city library sent her to the archive.
byl	was	Archiv byl temný a plný starých krabic.	The archive was dark and full of old boxes.
pomohly	helped	Muzeum a galerie jí nepomohly.	The museum and gallery didn't help her.
hrálo	was playing	Národní divadlo hrálo, ale ona neměla čas.	The National Theatre was playing, but she didn't have time.
zněly	sounded	Opera a filharmonie zněly z dálky.	Opera and philharmonic sounded from afar.
byly	were	Koncertní síň a kino byly prázdné.	The concert hall and cinema were empty.
bylo	was	Letní kino bylo zavřené na zámek.	The summer cinema was locked up.
měly	had	Planetárium a hvězdárna měly výhled, ne obálky.	The planetarium and observatory had a view, not envelopes.
nabídl	offered	Kulturní dům jí nabídl kafe, odmítla.	The cultural centre offered her coffee, she refused.
byly	were	Kostel a katedrála byly tiché svatyně.	The church and cathedral were quiet sanctuaries.
stály	stood	Bazilika, kaple a synagoga stály mlčky.	The basilica, chapel and synagogue stood silently.
byl	was	Klášter byl uzavřený pro veřejnost.	The monastery was closed to the public.
přešla	walked past	Hřbitov a krematorium přešla rychlým krokem.	She walked past the cemetery and crematorium at a quick pace.
lákal	attracted	Hrad na kopci ji lákal, ale nemohla.	The castle on the hill attracted her, but she couldn't.
byly	were	Zámek a věž byly příliš turistické.	The chateau and tower were too touristy.
tyčila	rose	Rozhledna se tyčila do oblak, ale ne.	The observation tower rose into the clouds, but no.
sedla	sat down	V městském parku si sedla na lavičku.	In the city park she sat down on a bench.
voněla	smelled	Botanická zahrada voněla, ale obálku neskrývala.	The botanical garden smelled nice, but didn't hide the envelope.
byla	was	Zoologická zahrada byla plná zvířat, ne papírů.	The zoo was full of animals, not papers.
umyla	washed	U fontány a kašny si umyla obličej.	At the fountain and the water feature she washed her face.
připadaly	seemed	Pomník a socha jí připadaly smutné.	The monument and statue seemed sad to her.
ztratila	lost herself	V nákupním centru se ztratila v davu.	In the shopping centre she got lost in the crowd.
měl	had	Obchodní dům měl deset pater, zbytečnost.	The department store had ten floors, useless.
nedaly	gave	Supermarket a hypermarket jí nedaly nic.	The supermarket and hypermarket gave her nothing.
měla	had	Večerka měla zavřeno, a tak šla dál.	The corner shop was closed, so she went on.
voněly	smelled	Pekárna a cukrárna voněly, ale hledala dál.	The bakery and confectionery smelled good, but she kept looking.
nic	nothing	Řeznictví, tržnice a tržiště - nic.	Butcher's shop, market hall and marketplace - nothing.
prázdnota	emptiness	Květinářství, trafika a knihkupectví - prázdnota.	Florist's, newsagent's and bookshop - emptiness.
minula	passed by	Billa měla frontu, tak ji minula.	Billa had a queue, so she passed it by.
vešla	entered	Už měla hlad, vešla do restaurace.	She was already hungry, so she entered a restaurant.
byly	were	Hospoda, hostinec a pivnice byly plné smíchu.	The pub, inn and alehouse were full of laughter.
potkala	met	V kavárně potkala kamarádku Janu.	In the café she met her friend Jana.
řekla	said	„Pojď do baru nebo vinárny,“ řekla Jana.	"Come to the bar or wine bar," said Jana.
dali	had	V bistru a fastfoodu si dali jen kafe.	At the bistro and fast food place they just had coffee.
snědly	ate	V jídelně a pizzerii snědly pizzu.	In the canteen and pizzeria they ate pizza.
připadl	seemed	Kebab jim připadl příliš mastný.	The kebab seemed too greasy to them.
šly	went	Šly kolem hotelu a hostelu.	They went past a hotel and hostel.
to	that	Penzion, motel a kolej - to ne.	Guesthouse, motel and dormitory - not that.
pomohly	helped	Banka a bankomat jí nepomohly.	The bank and ATM didn't help her.
poslali	sent	Ve směnárně a spořitelně ji poslali pryč.	At the exchange office and savings bank they sent her away.
byly	were	Zimní stadion a fotbalový stadion byly daleko.	The winter stadium and football stadium were far away.
byla	was	Sportovní hala a tělocvična byly plné.	The sports hall and gymnasium were full.
byla	was	Posilovna byla příliš hlučná.	The gym was too noisy.
byly	were	Plavecký bazén a koupaliště byly prázdné.	The swimming pool and lido were empty.
nic	nothing	Aquapark, tenisové kurty, atletický stadion - nic.	Aquapark, tennis courts, athletics stadium - nothing.
pomohly	helped	Parkoviště a parkovací dům jí nepomohly.	The car park and parking garage didn't help her.
ne	no	Garáže, čerpací stanice a benzínka - ne.	Garages, petrol station and gas station - no.
byly	were	Autoservis a STK byly pro auta.	The car repair shop and vehicle inspection station were for cars.
vypraly	washed	Prádelna a čistírna vypraly jen oblečení.	The laundry and dry cleaner's only washed clothes.
ne	no	Kadeřnictví, holičství a kosmetický salón - ne.	Hairdresser's, barber's and beauty salon - no.
ne	no	Solárium a masážní salón - ne.	Solarium and massage salon - no.
byl	was	Sběrný dvůr byl plný odpadu.	The recycling yard was full of waste.
poslední	last	Veřejné záchodky, informační centrum - poslední naděje.	Public toilets, information centre - last hope.
pokrčilo	shrugged	Informační centrum pokrčilo rameny.	The information centre shrugged its shoulders.
vzdala	gave up	Vzdala to a šla domů s Janou po boku.	She gave it up and went home with Jana by her side.
svlékla	took off	Ve dveřích si svlékla svůj starý kabát.	At the door she took off her old coat.
našla	found	A našla tu obálku v zapomenuté kapse.	And she found the envelope in a forgotten pocket.
ležela	lay	Ležela tam celou dobu, schovaná za látkou.	It lay there the whole time, hidden behind the fabric.
usmála	smiled	Usmála se, objala Janu a dala si čaj.	She smiled, hugged Jana and had some tea.
skončil	ended	Bureaucratic nightmare skončil, klid nastal.	The bureaucratic nightmare ended, peace arrived.
