czech_word	english_translation	czech_sentence	english_sentence
vpadl	burst into	Rozzlobený kuchař Augustin vpadl do kuchyně, zatímco noc byla hluchá.	Angry cook Augustin burst into the kitchen, while the night was silent.
klopýtl	stumbled	Hned za dveřmi klopýtl přes kuchyňskou linku, avšak zůstal stát.	Right behind the door he stumbled over the kitchen counter, but remained standing.
otevřel	opened	Otevřel první skříňku, ale našel tam jen pavučiny.	He opened the first cupboard, but found only cobwebs there.
vyšplhal	climbed up	Vyšplhal k horní skříňce, přestože se mu třásly ruce.	He climbed up to the upper cupboard, even though his hands were shaking.
zkontroloval	checked	Zkontroloval spodní skříňku, v níž se skrýval prach.	He checked the lower cupboard, in which dust was hiding.
vytáhl	pulled out	Vytáhl zásuvku, jež zaskřípala jako staré vrány.	He pulled out the drawer, which creaked like old crows.
prohledal	searched	Prohledal každý šuplík, ač tam ležely jen lžíce.	He searched every drawer, although there were only spoons lying there.
přejel	ran (his finger)	Po prázdných policích přejel prstem, čekaje zázrak.	He ran his finger over the empty shelves, expecting a miracle.
nahlédl	looked into	Nahlédl do spíže, ale temnota mu odpovídala mlčením.	He looked into the pantry, but the darkness answered him with silence.
otevřel	opened	Otevřel spížku a ucítil jen suché koření.	He opened the small pantry and smelled only dry spices.
stál	stood	Uprostřed místnosti stál kuchyňský ostrov jako bílý hrob.	In the middle of the room stood a kitchen island like a white tomb.
posadil	sat down	Posadil se na barovou židli, která se pod ním zakymácela.	He sat down on a bar stool, which wobbled under him.
zastavil	stopped	U dřezu se zastavil a otočil vodovodní baterii.	He stopped at the sink and turned the water faucet.
vytekla	flowed out	Z kohoutku však nevytekla jediná kapka.	However, not a single drop flowed out of the tap.
kopl	kicked	Kopl do odpadkového koše, jenž se převrátil s řevem.	He kicked the trash can, which turned over with a roar.
stál	stood	Vedle stál koš na tříděný odpad, z něhož trčel banán.	Next to it stood a recycling bin, from which a banana stuck out.
otevřel	opened	Otevřel lednici, ale uvnitř svítila jen žárovka.	He opened the fridge, but inside only the light bulb was shining.
zavřel	closed	Zavřel chladničku a přešel k tichému mrazáku.	He closed the refrigerator and walked over to the quiet freezer.
sehnul	bent down	U sporáku se sehnul a otočil knoflíkem.	He bent down at the stove and turned the knob.
rozsvítila	turned on	Sklokeramická deska se rozsvítila, ale nebyl na ní žádný hrnec.	The ceramic hob turned on, but there was no pot on it.
přejel	ran (his finger)	Přejel prstem po indukční desce a pocítil jen chlad.	He ran his finger over the induction cooktop and felt only cold.
nahlédl	looked into	Do trouby nahlédl, aniž by tam něco spatřil.	He looked into the oven without seeing anything there.
zkontroloval	checked	Zkontroloval horkovzdušnou troubu, jež byla studená.	He checked the convection oven, which was cold.
začala	started	Zatímco se otáčel, začala mikrovlnná trouba bzučet.	While he was turning around, the microwave started buzzing.
otevřel	opened	Otevřel mikrovlnku, našel tam lžičku a kousek chleba.	He opened the microwave, found a spoon and a piece of bread there.
šplouchala	splashed	Myčka nádobí tiše šplouchala, ale on ji ignoroval.	The dishwasher was quietly splashing, but he ignored it.
stála	stood	Na pultě stála rychlovarná konvice plná staré vody.	On the counter stood a kettle full of old water.
topinkovač	toaster	Vedle ní topinkovač, avšak žádný toust v něm nebyl.	Next to it a toaster, but there was no toast in it.
zkoumal	examined	Zkoumal toustovač, který vypadal jako hladový kov.	He examined the toaster, which looked like hungry metal.
otevřel	opened	Otevřel sendvičovač, leč našel jen spálenou drobek.	He opened the sandwich maker, but found only a burnt crumb.
došel	reached	Poté došel k kávovaru, jenž byl chladný jako kámen.	Then he reached the coffee maker, which was cold as stone.
stál	stood	Vedle stál espressovač s prázdným sítkem.	Next to it stood an espresso machine with an empty filter basket.
zkusil	tried	Zkusil mlejnek na kávu, jehož zuby se jen zablokovaly.	He tried the coffee grinder, whose burrs just jammed.
uchopil	grabbed	Uchopil mixér, avšak ten byl rozbitý už navždy.	He grabbed the blender, but it was broken forever.
zvedl	lifted	Zvedl tyčový mixér, ale jeho motor mlčel.	He lifted the immersion blender, but its motor was silent.
postavil	stood (positioned)	Postavil se ke stolnímu mixéru, kde byla jen zelená hmota.	He stood by the countertop blender, where there was only green sludge.
zapnul	turned on	Zapnul kuchyňský robot, jenž začal divoce tančit.	He turned on the food processor, which started dancing wildly.
vydal	emitted	Odšťavňovač vydal skřípavý zvuk a umlkl.	The juicer emitted a screeching sound and fell silent.
byla	was	Fritéza byla studená jako smrt.	The deep fryer was cold as death.
zkusil	tried	Zkusil horkovzdušnou fritézu, ale ta nevyfoukla ani teplo.	He tried the air fryer, but it didn't blow out even heat.
našel	found	Našel svářečku folií, leč ta už dávno zrezivěla.	He found a foil sealer, but it had rusted long ago.
postavil	placed	Postavil hrnec na kuchyňskou váhu a ta ukázala nulu.	He placed a pot on the kitchen scale and it showed zero.
cvakla	clicked	Minutka cvakla, avšak nikdo jí nevěnoval pozornost.	The timer clicked, but no one paid attention to it.
ležel	lay	V šuplíku ležel starý příbor s ohnutou vidličkou.	In the drawer lay old cutlery with a bent fork.
vytáhl	pulled out	Vytáhl lžíci, jež byla potřísněná marmeládou.	He pulled out a spoon that was stained with jam.
vzal	took	Vzal polévkovou lžíci a míchal s ní prázdný vzduch.	He took a soup spoon and stirred empty air with it.
zkusil	tried	Zkusil čajovou lžičku, která se mu schovala v dlani.	He tried a teaspoon, which hid in his palm.
